n,distribution,comparisons,swaps,accesses,allocations,nanos
100,random,1021,580,4362,0,428600
1000,random,16833,9064,69922,0,931100
10000,random,235366,124242,967700,0,3321500
100000,random,3019713,1575174,12340122,0,15099000
100,sorted,1081,640,4722,0,28700
1000,sorted,17583,9708,73998,0,247000
10000,sorted,244460,131956,1016744,0,1828100
100000,sorted,3112517,1650854,12828450,0,7287100
100,reversed,944,516,3952,0,8300
1000,reversed,15965,8316,65194,0,63500
10000,reversed,226682,116696,920148,0,633900
100000,reversed,2926640,1497434,11843016,0,7167500
100,nearly,1079,637,4706,0,4400
1000,nearly,17554,9694,73884,0,53900
10000,nearly,244303,131526,1014710,0,833000
100000,nearly,3110671,1648942,12817110,0,8190200
